Time,Vultures,Jackals,Hyenas,Lions,Carrion 2,Log10Carrion2,JackalRemovalRate2,HyenaRemovalRate2,LionRemovalRate2,DecayRate2
453.15,0.081803915,0.54849657,0.199494192,0.050736362,1.441683018,0.158869783,1.111648135,0.847373718,0.200215757,0.100917811
455.8,0.081758241,0.548498967,0.199542648,0.050734509,1.441273071,0.158746272,1.111541879,0.847553504,0.200169483,0.100889115
458.45,0.081712594,0.548500622,0.199591048,0.050732653,1.440866879,0.158623858,1.111435095,0.847733262,0.200123549,0.100860681
461.1,0.081666971,0.548501561,0.19963939,0.050730793,1.440464322,0.158502506,1.111327807,0.847912985,0.200077943,0.100832503
463.75,0.081621374,0.548501812,0.199687676,0.050728929,1.440065285,0.158382181,1.111220039,0.848092667,0.200032654,0.10080457
466.4,0.081575803,0.5485014,0.199735906,0.050727063,1.439669656,0.158262851,1.111111813,0.848272301,0.199987674,0.100776876
469.05,0.081530257,0.548500348,0.199784079,0.050725194,1.439277327,0.158144484,1.111003152,0.848451882,0.199942992,0.100749413
471.7,0.081484737,0.548498682,0.199832196,0.050723321,1.438888196,0.15802705,1.110894076,0.848631404,0.199898599,0.100722174
474.35,0.081439241,0.548496422,0.199880257,0.050721446,1.438502161,0.157910519,1.110784605,0.84881086,0.199854485,0.100695151
477,0.081393772,0.548493593,0.199928261,0.050719568,1.438119126,0.157794862,1.11067476,0.848990245,0.199810643,0.100668339
479.65,0.081348327,0.548490214,0.19997621,0.050717688,1.437738999,0.157680053,1.110564558,0.849169555,0.199767064,0.10064173
482.3,0.081302908,0.548486307,0.200024102,0.050715805,1.437361691,0.157566066,1.110454018,0.849348784,0.199723739,0.100615318
484.95,0.081257515,0.54848189,0.200071938,0.050713919,1.436987114,0.157452874,1.110343158,0.849527927,0.199680662,0.100589098
487.6,0.081212147,0.548476984,0.200119718,0.050712031,1.436615187,0.157340453,1.110231994,0.84970698,0.199637824,0.100563063
490.25,0.081166804,0.548471605,0.200167443,0.050710141,1.436245828,0.15722878,1.110120542,0.849885938,0.199595218,0.100537208
492.9,0.081121486,0.548465772,0.200215111,0.050708248,1.435878961,0.157117832,1.110008818,0.850064796,0.199552838,0.100511527
495.55,0.081076194,0.548459503,0.200262724,0.050706354,1.435514511,0.157007587,1.109896838,0.850243551,0.199510676,0.100486016
498.2,0.081030927,0.548452812,0.200310281,0.050704457,1.435152406,0.156898024,1.109784615,0.850422199,0.199468727,0.100460668
500.85,0.080985685,0.548445717,0.200357783,0.050702558,1.434792578,0.156789121,1.109672164,0.850600735,0.199426983,0.10043548
503.5,0.080940469,0.548438232,0.200405228,0.050700658,1.434434959,0.156680861,1.109559498,0.850779156,0.19938544,0.100410447
506.15,0.080895277,0.548430373,0.200452619,0.050698755,1.434079486,0.156573223,1.109446631,0.850957459,0.199344091,0.100385564
508.8,0.080850111,0.548422152,0.200499954,0.05069685,1.433726096,0.15646619,1.109333574,0.851135639,0.19930293,0.100360827
511.45,0.080804971,0.548413585,0.200547233,0.050694944,1.43337473,0.156359744,1.109220339,0.851313694,0.199261952,0.100336231
514.1,0.080759855,0.548404684,0.200594457,0.050693036,1.43302533,0.156253867,1.109106939,0.85149162,0.199221153,0.100311773
516.75,0.080714765,0.548395461,0.200641626,0.050691127,1.432677841,0.156148544,1.108993385,0.851669414,0.199180527,0.100287449
519.4,0.080669699,0.54838593,0.20068874,0.050689215,1.432332209,0.156043758,1.108879687,0.851847073,0.199140069,0.100263255
522.05,0.080624659,0.548376102,0.200735798,0.050687303,1.431988383,0.155939495,1.108765856,0.852024595,0.199099774,0.100239187
524.7,0.080579645,0.548365988,0.200782801,0.050685389,1.431646313,0.155835739,1.108651901,0.852201976,0.199059639,0.100215242
527.35,0.080534655,0.5483556,0.200829749,0.050683473,1.43130595,0.155732477,1.108537833,0.852379214,0.199019659,0.100191417
530,0.08048969,0.548344948,0.200876642,0.050681556,1.43096725,0.155629694,1.108423661,0.852556306,0.198979829,0.100167707
708.989899,0.077510027,0.547344505,0.203918868,0.050550685,1.410490398,0.149370134,1.100757885,0.864104169,0.196509224,0.098734328
887.979798,0.074640669,0.546263783,0.206722757,0.050420773,1.392606724,0.143828488,1.093578593,0.874748518,0.194285138,0.097482471
1066.969697,0.071877532,0.545256253,0.209300308,0.050294655,1.376489032,0.138772755,1.08698741,0.884501848,0.192242056,0.096354232
1245.959596,0.069216684,0.544330503,0.211663988,0.050173898,1.361930902,0.134155074,1.080958291,0.893415976,0.190367825,0.095335163
1424.949495,0.066654339,0.543482702,0.213826656,0.050059467,1.348788362,0.12994381,1.075454726,0.901546416,0.18865339,0.094415185
1603.939394,0.06418685,0.54270795,0.215801317,0.049951912,1.336932571,0.126109504,1.070439975,0.90894845,0.187089163,0.09358528
1782.929293,0.061810705,0.542001302,0.217600912,0.04985148,1.326245219,0.122623831,1.065878211,0.91567613,0.185665146,0.092837165
1961.919192,0.059522523,0.541357898,0.219238136,0.049758203,1.316617582,0.11945965,1.061734862,0.92178168,0.184371245,0.092163231
2140.909091,0.057319047,0.540773025,0.220725303,0.049671958,1.307949911,0.116591113,1.057976827,0.927315081,0.183197517,0.091556494
2319.89899,0.055197143,0.540242142,0.222074242,0.049592515,1.300150879,0.113993754,1.054572641,0.932323769,0.182134332,0.091010561
2498.888889,0.05315379,0.539760916,0.223296217,0.049519573,1.293137029,0.111644548,1.051492588,0.936852462,0.181172496,0.090519592
